MESHS,count_cell,count_all,value_all,count_dmg,value_dmg,value_affected,MDR,PAA,MDD,PVA
66,38.0,164.0,154376040.14295217,125.0,2405953.40510348,121007955.39962655,0.015585018263686306,0.7621951219512195,0.019882605215151873,0.7838519195567732
67,38.0,164.0,154376040.14295217,125.0,2405953.40510348,121007955.39962655,0.015585018263686306,0.7621951219512195,0.019882605215151873,0.7838519195567732
68,27.0,118.0,111386167.29762924,94.0,1736730.507273653,93643300.31537631,0.015591976538999004,0.7966101694915254,0.018546233435009343,0.8407085241128449
69,27.0,118.0,111386167.29762924,94.0,1736730.507273653,93643300.31537631,0.015591976538999004,0.7966101694915254,0.018546233435009343,0.8407085241128449
70,27.0,118.0,111386167.29762924,94.0,1736730.507273653,93643300.31537631,0.015591976538999004,0.7966101694915254,0.018546233435009343,0.8407085241128449
71,26.0,113.0,105449834.871899,94.0,1736730.507273653,93643300.31537631,0.016469731881358016,0.831858407079646,0.018546233435009343,0.8880364813196215
72,14.0,60.0,52464275.3117018,53.0,1061511.0135258953,53339268.26134169,0.020233025372393403,0.8833333333333333,0.01990111690930786,1.0166778811761217
73,14.0,60.0,52464275.3117018,53.0,1061511.0135258953,53339268.26134169,0.020233025372393403,0.8833333333333333,0.01990111690930786,1.0166778811761217
74,2.0,10.0,6842665.358690383,10.0,183544.35414202604,9872775.31667681,0.026823517521417206,1.0,0.018590958292344417,1.4428259748429901
75,2.0,10.0,6842665.358690383,10.0,183544.35414202604,9872775.31667681,0.026823517521417206,1.0,0.018590958292344417,1.4428259748429901
76,0.0,0.0,0.0,0.0,0.0,0.0,,,,
77,0.0,0.0,0.0,0.0,0.0,0.0,,,,
78,0.0,0.0,0.0,0.0,0.0,0.0,,,,
79,0.0,0.0,0.0,0.0,0.0,0.0,,,,
80,0.0,0.0,0.0,0.0,0.0,0.0,,,,
81,0.0,0.0,0.0,0.0,0.0,0.0,,,,
82,0.0,0.0,0.0,0.0,0.0,0.0,,,,
83,0.0,0.0,0.0,0.0,0.0,0.0,,,,
84,0.0,0.0,0.0,0.0,0.0,0.0,,,,
85,0.0,0.0,0.0,0.0,0.0,0.0,,,,
86,0.0,0.0,0.0,0.0,0.0,0.0,,,,
87,0.0,0.0,0.0,0.0,0.0,0.0,,,,
88,0.0,0.0,0.0,0.0,0.0,0.0,,,,
89,0.0,0.0,0.0,0.0,0.0,0.0,,,,
90,0.0,0.0,0.0,0.0,0.0,0.0,,,,
91,0.0,0.0,0.0,0.0,0.0,0.0,,,,
92,0.0,0.0,0.0,0.0,0.0,0.0,,,,
93,0.0,0.0,0.0,0.0,0.0,0.0,,,,
94,0.0,0.0,0.0,0.0,0.0,0.0,,,,
95,0.0,0.0,0.0,0.0,0.0,0.0,,,,
96,0.0,0.0,0.0,0.0,0.0,0.0,,,,
97,0.0,0.0,0.0,0.0,0.0,0.0,,,,
98,0.0,0.0,0.0,0.0,0.0,0.0,,,,
99,0.0,0.0,0.0,0.0,0.0,0.0,,,,
